,,,분 류,,,,,,,,,,,,,,,,,,,
,,,Python 프로그래밍 및 AI 수학,데이터 전처리 및 핸들링,머신러닝/딥러닝 프레임워크 기초,데이터베이스 및 SQL 활용,컴퓨터 비전(CV) 및 이미지 처리,자연어 처리(NLP) 및 LLM 활용,생성형 AI 및 RAG 아키텍처,모델 성능 최적화 및 경량화,AI 모델 서빙 및 API 개발,MLOps 파이프라인 및 클라우드 배포,프로젝트,,,,,,,,,
훈련기관명,훈련과정명,대분류,1,2,3,4,5,6,7,8,9,10,11,,,,,,,,,
더조은컴퓨터아카데미,빅데이터 기반 AI활용 앱&웹 개발자(풀스택) 취업캠프,AI,심화,심화,심화,심화,기본,기본,심화,기본,심화,기본,심화,,,,,,,,,
(주)이스트소프트,"[이스트캠프] AI 휴먼(멀티모달, TTS, STT, 프롬프트 엔지니어링, RAG)",AI,심화,심화,심화,기본,기본,심화,심화,기본,기본,기본,심화,,,,,,,,,
에듀윌 국비교육원 성남센터,RDB 활용 GEN-AI 풀스택 개발자 과정,AI,심화,심화,심화,심화,기본,기본,기본,기본,심화,기본,심화,,,,,,,,,
아시아경제 교육센터,AI기반 자율주행(ROS2) 산업융합 Biz모델 개발 과정,AI,심화,심화,심화,기본,심화,기본,기본,기본,기본,기본,심화,,,,,,,,,
엠비씨(MBC)아카데미 컴퓨터국비지원교육센터,심화_인공지능 YOLO기반 부트캠프,AI,심화,심화,심화,기본,심화,없음,기본,기본,기본,기본,심화,,,,,,,,,
두드림컴퓨터학원,심화_생성형 AI와 AWS 클라우드를 활용한 풀스택 & 자동화 실무 개발,AI,심화,심화,심화,기본,기본,기본,심화,기본,심화,심화,심화,,,,,,,,,
한국ICT인재개발원,클라우드기반 AI 대화형 서비스 웹개발자 양성,AI,심화,심화,심화,기본,기본,기본,기본,기본,심화,심화,심화,,,,,,,,,
인천더조은컴퓨터아트학원,생성형AI 활용(인공지능)머신러닝 · 딥러닝 웹(앱)개발 과정,AI,심화,심화,심화,기본,기본,기본,심화,기본,심화,기본,심화,,,,,,,,,
아시아경제 교육센터,융합_데이터 기반 차세대 디지털 헬스케어 AI 솔루션,AI,심화,심화,심화,심화,기본,기본,기본,기본,기본,기본,심화,,,,,,,,,
엠비씨(MBC)아카데미컴퓨터학원 천호점,(기업연계형) AI를 이용한 스마트플랫폼 개발자 양성과정,AI,심화,심화,심화,심화,기본,기본,기본,기본,심화,기본,심화,,,,,,,,,
미래융합교육원,융합_건양대학교병원 바이오메디컬 인공지능,AI,심화,심화,심화,기본,없음,없음,기본,기본,기본,기본,심화,,,,,,,,,
성균관대학교산학협력단,[AWS] 바이오 헬스케어 AI 아카데미,AI,심화,심화,심화,기본,기본,기본,기본,기본,기본,심화,심화,,,,,,,,,
더조은컴퓨터아카데미,빅데이터 분석 및 AI(머신·딥러닝) 활용 개발 전문가 취업캠프,AI,심화,심화,심화,심화,기본,기본,기본,기본,기본,기본,심화,,,,,,,,,
대한상공회의소,재직자_[SK AX] 생성형 AI 서비스 개발 Skill-up (SKALA-G.AI),AI,심화,심화,심화,기본,기본,기본,심화,기본,심화,기본,심화,,,,,,,,,
패스트캠퍼스강남학원,재직자_INNER CIRCLE : 인공지능(AI) 마스터 Course,AI,심화,심화,심화,기본,기본,기본,기본,기본,기본,기본,심화,,,,,,,,,
엠비씨(MBC)아카데미 컴퓨터교육센터 수원점,AI기반 시스템 및 응용소프트웨어 개발자 양성과정,AI,심화,심화,심화,기본,기본,기본,기본,기본,기본,기본,심화,,,,,,,,,
더조은컴퓨터학원,"빅데이터(파이썬) 분석 기반 AI(머신러닝, 딥러닝) & 추천 알고리즘 개발",AI,심화,심화,심화,심화,기본,기본,기본,기본,기본,기본,심화,,,,,,,,,
에듀윌 국비교육원 구로센터,GEN-AI RAG 문자(음성)데이터응용SW 개발자 과정,AI,심화,심화,심화,심화,기본,심화,심화,기본,기본,기본,심화,,,,,,,,,
스마트인재개발원,언어지능기반 분석서비스 개발자과정,AI,심화,심화,심화,기본,없음,심화,기본,기본,심화,기본,심화,,,,,,,,,
한국소프트웨어인재개발원,실무로 배우는 생성형AI & 클라우드 서비스 개발 전문가 과정(GPT & LLM 활용),AI,심화,심화,심화,기본,기본,심화,심화,기본,심화,심화,심화,,,,,,,,,
주식회사구름,생성 AI 응용 서비스 개발자 양성 과정,AI,심화,심화,심화,기본,기본,기본,심화,기본,심화,기본,심화,,,,,,,,,
(주)이스트소프트,"[이스트캠프] 와썹 AI 모델 개발(Python, 인공지능, 딥러닝)",AI,심화,심화,심화,기본,기본,기본,기본,기본,기본,기본,심화,,,,,,,,,
플레이데이터평생교육원,SK네트웍스 Family AI 캠프,AI,심화,심화,심화,기본,기본,기본,기본,기본,기본,기본,심화,,,,,,,,,
패스트캠퍼스강남학원,AI(인공지능) Lab,AI,심화,심화,심화,기본,기본,기본,기본,기본,기본,기본,심화,,,,,,,,,
한국IT교육원,융합_메티컬 AI with 스마트웰니스,AI,심화,심화,심화,기본,없음,없음,기본,기본,기본,기본,심화,,,,,,,,,
팀스파르타주식회사,재직자_금융데이터를 활용한 AI 개발 심화 교육,AI,심화,심화,심화,심화,기본,기본,기본,기본,기본,기본,심화,,,,,,,,,
대한상공회의소,[Intel] 엣지 AI SW 아카데미,AI,심화,심화,심화,기본,기본,기본,기본,심화,기본,기본,심화,,,,,,,,,
주식회사멋쟁이사자처럼,심화_기업 연계형 실전 프로젝트 중심 AI과정_자연어처리(심화),AI,심화,심화,심화,기본,기본,심화,기본,기본,기본,기본,심화,,,,,,,,,
성균관대학교산학협력단,[Microsoft] 인공지능 SW 아카데미,AI,심화,심화,심화,기본,기본,기본,기본,기본,기본,기본,심화,,,,,,,,,
한국전파진흥협회,AWS AI School,AI,심화,심화,심화,기본,기본,기본,기본,기본,기본,심화,심화,,,,,,,,,
주식회사멋쟁이사자처럼,심화_기업 연계형 실전 프로젝트 중심 AI과정_이미지처리(심화),AI,심화,심화,심화,기본,기본,기본,기본,기본,기본,기본,심화,,,,,,,,,
(주)한국능률협회컨설팅,기업맞춤형 AI+X 융복합 인재 양성 과정,AI,심화,심화,심화,기본,기본,기본,기본,기본,기본,기본,심화,,,,,,,,,
넥스트러너스평생교육시설,헬스케어 데이터 기반 인공지능 디지털 의료 웹 서비스 개발자 양성과정,AI,심화,심화,심화,심화,기본,기본,기본,기본,심화,기본,심화,,,,,,,,,
하이미디어아카데미,심화_생성형 AI활용 인재양성과정 (조별멘토),AI,심화,심화,심화,기본,기본,기본,심화,기본,기본,기본,심화,,,,,,,,,
패스트캠퍼스강남학원,AI 심화 캠프,AI,심화,심화,심화,기본,기본,기본,기본,기본,기본,기본,심화,,,,,,,,,
국립부경대학교,인공지능 핀봇(챗봇) 실무프로젝트,AI,심화,심화,심화,기본,기본,심화,기본,기본,기본,기본,심화,,,,,,,,,
경북대학교산학협력단,AI·빅데이터 전문가 양성과정,AI,심화,심화,심화,심화,기본,기본,기본,기본,기본,기본,심화,,,,,,,,,
한국지능형교통체계협회,[에스트래픽] 스마트 모빌리티 DX Academy,AI,심화,심화,심화,기본,기본,기본,기본,기본,기본,기본,심화,,,,,,,,,
한국직업전문학교,의료 Medical AI 분석 서비스 개발자 과정,AI,심화,심화,심화,기본,없음,없음,기본,기본,심화,기본,심화,,,,,,,,,
(주)모두의연구소,[아이펠]딥러닝 개발자 도약 과정,AI,심화,심화,심화,기본,기본,기본,기본,기본,기본,기본,심화,,,,,,,,,
한국직업전문학교,"AI 서비스 개발자 (Search, 객체탐지, 판독)",AI,심화,심화,심화,기본,심화,기본,기본,기본,심화,기본,심화,,,,,,,,,
(주)모두의연구소,AI 기반 지능형 서비스 개발 전문가 과정,AI,심화,심화,심화,기본,기본,기본,기본,기본,심화,기본,심화,,,,,,,,,
(주)알파코,[End-to-End] AI 개발자 마스터 과정,AI,심화,심화,심화,기본,기본,기본,기본,기본,기본,기본,심화,,,,,,,,,
코드잇 평생교육원,"딥러닝 모델(자연어처리, 컴퓨터비전) 기반 AI 엔지니어 부트캠프",AI,심화,심화,심화,기본,심화,심화,기본,기본,기본,기본,심화,,,,,,,,,
대한상공회의소,[우리FIS 아카데미] AI 엔지니어링,AI,심화,심화,심화,기본,기본,기본,기본,기본,기본,기본,심화,,,,,,,,,
케이지에듀원 아이티뱅크종로학원,[K-디지털] 생성형 AI 기반 서비스 개발자 양성,AI,심화,심화,심화,기본,기본,기본,심화,기본,심화,기본,심화,,,,,,,,,
한국지능형교통체계협회,[대보정보통신] AI-X 스마트 교통 및 인프라 유지관리 아카데미,AI,심화,심화,심화,기본,기본,기본,기본,기본,기본,기본,심화,,,,,,,,,
코드랩아카데미학원,재직자_AI Multi-Agent 서비스 실전프로젝트,AI,심화,심화,심화,기본,기본,기본,기본,기본,심화,기본,심화,,,,,,,,,
(주)우리인재개발원,심화_AI기반 지능형 솔루션 개발 과정,AI,심화,심화,심화,기본,기본,기본,기본,기본,기본,기본,심화,,,,,,,,,
한국전파진흥협회,(현대로템) K-방산 AI모델 개발과정,AI,심화,심화,심화,기본,기본,기본,기본,기본,기본,기본,심화,,,,,,,,,
(주)솔데스크,챗GPT를 활용한 자바(JAVA) 스프링 및 데이터 분석 시스템기반 웹 플랫폼 구축 과정,AI,심화,심화,심화,심화,기본,심화,심화,기본,심화,기본,심화,,,,,,,,,
한국표준협회,[엔비디아] NVIDIA AI Academy,AI,심화,심화,심화,기본,기본,기본,기본,기본,기본,기본,심화,,,,,,,,,
삼정회계법인,[삼정] ESG 데이터 활용 AX Academy with AI Agent,AI,심화,심화,심화,심화,기본,기본,기본,기본,기본,기본,심화,,,,,,,,,
넥스트러너스평생교육시설,AI를 활용한 MVP 프로덕트 매니저 양성과정,AI,심화,심화,심화,기본,기본,기본,기본,기본,기본,기본,심화,,,,,,,,,
엠비씨(MBC)아카데미 컴퓨터교육센터 수원점,심화_AI Roboflow를 활용한 부유물탐지 시스템 구축과정,AI,심화,심화,심화,기본,심화,없음,기본,기본,기본,기본,심화,,,,,,,,,
현대경제연구원 인재개발원,융합_삼정 Future Academy,AI,심화,심화,심화,기본,기본,기본,기본,기본,기본,기본,심화,,,,,,,,,
주식회사멋쟁이사자처럼,AI 서비스 기획 개발 과정,AI,심화,심화,심화,기본,기본,기본,기본,기본,기본,기본,심화,,,,,,,,,
국제인재개발원,고품질 이미지 AI 모델 개발자 양성과정,AI,심화,심화,심화,기본,심화,없음,기본,기본,기본,기본,심화,,,,,,,,,
이젠IT아카데미학원,"빅데이터 분석을 위한 AI(머신러닝,딥러닝기반)서비스 개발자 양성(JAVA,파이썬)",AI,심화,심화,심화,심화,기본,기본,기본,기본,심화,기본,심화,,,,,,,,,
