게임,,
,,
분 류,설명 ,난이도
프로그래밍 언어 핵심 (C++ / C#),C++(언리얼) 또는 C#(유니티)의 문법 숙지 및 객체지향 프로그래밍(OOP) 심화 원리 이해,없음/찍먹/기본/심화
자료구조 및 알고리즘,"게임 성능 최적화를 위한 핵심 자료구조(List, Map 등) 및 길 찾기 알고리즘 활용",없음/찍먹/기본/심화
게임 수학 및 물리학 기초,3D 공간 구현을 위한 벡터·행렬 등 선형대수 이해 및 물리 엔진(충돌·중력) 원리 학습,없음/찍먹/기본/심화
Windows API 및 시스템 프로그래밍,운영체제 구조 이해 및 다이렉트X(DirectX) 기초를 통한 그래픽스 렌더링 파이프라인 학습,없음/찍먹/기본/심화
게임 엔진 기초 및 씬(Scene) 구성,Unity 또는 Unreal 엔진 인터페이스 숙지 및 레벨 디자인·오브젝트 배치 실습,없음/찍먹/기본/심화
캐릭터 제어 및 FSM(유한상태머신),사용자 입력에 따른 캐릭터 애니메이션 제어 및 NPC 인공지능(AI) 상태 패턴 구현,없음/찍먹/기본/심화
2D/3D 그래픽스 및 셰이더,"3D 모델, 텍스처, 라이팅에 대한 이해 및 셰이더 프로그래밍을 통한 시각 효과 구현",없음/찍먹/기본/심화
UI/UX 시스템 및 사운드 미들웨어,사용자 인터페이스(UGUI/UMG) 설계 및 효과적인 사운드 리소스 관리·연동,없음/찍먹/기본/심화
네트워크 및 멀티플레이어 구현,TCP/UDP 소켓 프로그래밍 이해 및 멀티플레이어 위치 동기화·데이터 패킷 처리,없음/찍먹/기본/심화
게임 최적화 및 상용화 프로젝트,프로파일링 툴을 활용한 메모리·프레임 최적화 및 마켓(Steam/PlayStore) 빌드·배포,없음/찍먹/기본/심화
