마케팅,,
,,
분 류,설명 ,난이도
디지털 마케팅 개론 및 프레임워크,"마케팅의 본질 이해 및 페르소나 설정, 고객 여정 지도(Customer Journey Map) 설계",없음/찍먹/기본/심화
IT/SW 시장 트렌드 및 비즈니스 모델,"SaaS, 플랫폼, 앱 서비스 등 IT 비즈니스 유형별 수익 모델(BM) 분석 및 시장 조사",없음/찍먹/기본/심화
마케팅 퍼널(Funnel) 설계 전략,AARRR(획득-활성화-유지-매출-추천) 프레임워크 이해 및 단계별 핵심 지표(KPI) 설정,없음/찍먹/기본/심화
데이터 리터러시 및 엑셀 활용,데이터 기반 의사결정을 위한 기초 통계 이해 및 엑셀/스프레드시트를 활용한 데이터 가공,없음/찍먹/기본/심화
퍼포먼스 마케팅 및 매체 운영,"Meta(SNS), Google Ads, 검색광고(SA) 등 주요 매체별 광고 세팅 및 ROAS 최적화",없음/찍먹/기본/심화
콘텐츠 마케팅 및 SEO(검색엔진 최적화),"테크니컬 SEO 원리 이해 및 전환을 유도하는 카피라이팅, 상세페이지 기획",없음/찍먹/기본/심화
그로스 해킹(Growth Hacking) 및 실험,가설 수립 및 A/B 테스트 설계를 통한 UX/UI 개선 및 전환율 최적화(CRO),없음/찍먹/기본/심화
CRM 마케팅 및 고객 리텐션,"이메일, 앱 푸시, 카카오 알림톡 등을 활용한 재방문 유도 및 이탈률 방어 전략",없음/찍먹/기본/심화
웹/앱 로그 분석 (GA/Amplitude),Google Analytics 또는 Amplitude를 활용한 유저 행동 추적 및 이벤트 택소노미 설계,없음/찍먹/기본/심화
실전 마케팅 캠페인 및 성과 리포팅,"예산 설정부터 광고 집행, 성과 분석, 개선안 도출까지 포함된 풀사이클 캠페인 프로젝트",없음/찍먹/기본/심화
