모바일,,,
,,,
분 류,설명,난이도
프로그래밍 언어 기초,앱을 만들기 위한 언어를 배움 (Swift/Kotlin),없음/찍먹/기본/심화
UI/UX 레이아웃,스마트폰 화면에 버튼과 그림을 예쁘게 배치,없음/찍먹/기본/심화
화면 이동 & 내비게이션,홈 화면에서 설정 화면으로 자연스럽게 이동하는 길을 만듬,없음/찍먹/기본/심화
상태 관리 & 데이터 바인딩,화면의 숫자와 실제 데이터를 실시간으로 일치시킴,없음/찍먹/기본/심화
서버 통신 & API,앱 혼자 작동하는 게 아니라 인터넷 세상과 대화함,없음/찍먹/기본/심화
로컬 데이터 저장,인터넷이 없어도 볼 수 있게 데이터를 폰에 저장,없음/찍먹/기본/심화
하드웨어 기능 제어,스마트폰의 카메라/마이크/위치를 사용,없음/찍먹/기본/심화
앱 배포 & 스토어 등록,구글 플레이스토어나 애플 앱스토어에 올려서 남들이 다운로드할 수 있게 만듬,없음/찍먹/기본/심화
유지보수 & 테스트,기능 추가가 쉽고 버그가 없는 튼튼한 앱을 만듬,없음/찍먹/기본/심화
실무 프로젝트,최종 결과물을 만들고 서비스하는 단계,없음/찍먹/기본/심화
