,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
교육기관명,과정명,교육시작일자,교육종료일자,교육일수,교육시간,교육장소,온라인/오프라인,강사명,내일배움카드 필요 유뮤,수강료 지원금,자비부담금,수강료 합계,지원혜택,,훈련목표,커리큘럼,,,,,,,,,,지원자격,,선발절차,,,,훈련시설 및 장비,,,프로젝트,,,,,취업지원서비스,,,
,,,,,,,,,,,,,훈련수당(월),추가혜택,,1,2,3,4,5,6,7,8,9,10,필수,우대,서류심사,면접,코딩테스트,사전학습과제,장비,교재지원,장점,숫자,기간,팀구성방식,협업툴,멘토링,이력서/자소서,모의면접,협력사 매칭,수료 후 사후관리
(주)예담직업전문학교,"기업요구 Vue, Spring & Cloud 활용 풀스택 개발자 양성과정",20251127,20260615,130,1040,대구 중구,오프라인,미상,유, 9872720 , 0 ," 9,872,720 "," 316,000 ", 없음 ," 1.프론트엔드(Vue.js)와 백엔드(Spring Boot) 기술을 습득하여 기업이 요구하는 웹 애플리케이션을 구현
2.AWS 클라우드 환경에서의 배포 및 운영 능력을 갖춘 실무형 풀스택 개발자 양성 ",기본,심화,기본,기본,기본,기본,기본,기본,기본,심화," 국민내일배움카드 발급 가능자, 수료 후 즉시 취업이 가능한 미취업자(실업자), 대학 졸업 예정자(4학년) 및 졸업자 "," 정보통신/컴퓨터 관련 전공자, 비전공자라도 개발에 대한 학습 의지가 뚜렷한 자, 프로그래밍 기초 지식 보유자. ", O , O , X , X , PC , O , 없음 , 3 , 2 , 자율구성 , Git/GitHub , O , O , O , O , O 
삼성국민취업아카데미(주),"[풀스텍]클라우드 기반의 웹&앱 개발자 취업연계 부트캠프(자바,도커,보안)",20251127,20260619,137,1090,경기 성남시 수정구,오프라인,미상,유, 10329930 , 0 ," 10,329,930 "," 316,000 ", 없음 ," 1.Java & Spring Boot를 활용한 백엔드 웹 애플리케이션 개발 능력 함양
2.Docker 및 AWS를 활용한 컨테이너 기반 클라우드 배포 및 운영 환경 구축 ",기본,심화,기본,기본,기본,심화,기본,심화,심화,심화," 국민내일배움카드 발급 가능자, 훈련 기간 동안 성실히 참여 가능한 미취업자/졸업예정자. "," 정보보호학과, 컴퓨터공학과 등 IT 관련 전공자, 정보처리(산업)기사 자격증 소지자, 리눅스 마스터 등 서버 관련 자격증 소지자 ", O , O , X , X , PC , O , 없음 , 3 , 2 , 자율구성 , Git/GitHub , O , O , O , O , O 
두드림컴퓨터학원,"프로젝트 기반 풀스택(JAVA, Spring) 개발자 양성 과정",20251127,20260519,119,950,경기 성남시 분당구,오프라인,미상,유, 9003150 , 0 ," 9,003,150 "," 316,000 ", 없음 ," 1.Java 언어 및 Spring Framework에 대한 심화 학습을 통해 견고한 백엔드 서버 구축 능력 함양.
2.HTML/CSS/JavaScript 및 JSP/Servlet (또는 기초 React)을 활용한 웹 클라이언트 구현 ",기본,심화,기본,없음,기본,기본,없음,기본,기본,심화," 국민내일배움카드 소지자, 훈련 기간 동안 출석이 가능한 구직자(실업자), 대학 졸업 예정자. ","IT 관련 전공자(컴퓨터공학 등), 정보처리기사/기능사 자격증 소지자, 자바 기초 문법 선행 학습자.", O , O , X , X , PC , O , 없음 , 3 , 2 , 자율구성 , Git/GitHub , O , O , O , O , O 
글로벌아이티(IT)인재개발학원,데브옵스/MSA/컨테이너 기반의 클라우드 네이티브 엔지니어 전문가 과정,20251127,20260521,120,960,서울 관악구,오프라인,미상,유, 9097920 , 0 ," 9,097,920 "," 316,000 ", 없음 ," 1.온프레미스 환경을 넘어 AWS/Azure 등 퍼블릭 클라우드 환경에서의 인프라 구축 및 운영 능력 확보
2.모놀리식 아키텍처를 마이크로서비스 아키텍처로 전환하는 설계 및 구현 능력 함양 ",심화,기본,심화,기본,심화,심화,기본,기본,심화,심화," 국민내일배움카드 발급 가능자, 수료 후 취업 의지가 확고한 자. "," 컴퓨터/정보통신 관련 전공자, 리눅스(Linux) 기초 지식 보유자, 정보처리기사/네트워크관리사 자격증 소지자 ", O , O , X , X , PC , O , 없음 , 3 , 2 , 자율구성 , Git/GitHub , O , O , O , O , O 
중앙정보기술인재개발원,클라우드 데브옵스 프론트엔드&백엔드 자바(JAVA) 풀스택 개발자 취업캠프,20251127,20260521,120,960,서울 마포구,오프라인,미상,유, 9097920 , 0 ," 9,097,920 "," 316,000 ", 없음 ," 1.Java & Spring Boot(백엔드)와 React/Vue(프론트엔드)를 활용한 웹 애플리케이션 개발.
2.CI/CD(지속적 통합/배포) 파이프라인을 구축하여 개발부터 배포까지의 전 과정을 자동화하는 역량 확보 ",기본,심화,기본,기본,기본,기본,없음,심화,기본,심화," 국민내일배움카드 발급 가능자, 훈련에 전념할 수 있는 미취업자 "," IT 관련 전공자, 프로그래밍 언어(Java, Python 등) 학습 경험자, 정보처리기사 자격증 소지자. 비전공자라도 논리적 사고력과 학습 의지가 강한 자 ", O , O , O , X , PC , O , 없음 , 3 , 2 , 자율구성 , Git/GitHub , O , O , O , O , O 
연희직업전문학교(주),스마트 모빌리티 부트캠프 : 웹&모바일 통합 AI 자율주행 로봇 테크코스,20251127,20260609,133,1060,인천 서구,오프라인,미상,유, 9097920 , 0 ," 9,097,920 "," 316,000 ", 없음 ," 1.ROS 2 (Robot Operating System) 기반의 자율주행 로봇 제어 및 SLAM/Navigation 기술 습득
2.하드웨어(로봇)와 소프트웨어(웹/앱)를 잇는 스마트 모빌리티 풀스택 개발자 양성 ",기본,기본,기본,기본,없음,없음,없음,심화,심화,심화," 국민내일배움카드 발급 가능자, 6개월 이상 장기 훈련 참여가 가능한 미취업자. "," 컴퓨터/전자/기계공학 등 관련 전공자, 프로그래밍(C언어, 파이썬) 기초 학습자, 임베디드 및 로봇 분야 취업 의지가 확고한 비전공자 ", O , O , X , X , PC , O , 없음 , 3 , 2 , 자율구성 , Git/GitHub , O , O , O , O , O 
성남 그린컴퓨터아카데미,"프로젝트기반 웹&앱(자바,스프링,리액트,노코드) SW개발자 양성과정",20251127,20260624,143,1140,경기 성남시 분당구,오프라인,미상,유, 9097920 , 0 ," 9,097,920 "," 316,000 ", 없음 ," 1.Java & Spring Framework를 활용한 안정적인 백엔드 서버 구축 능력 함양
2.웹(Web)뿐만 아니라 모바일 환경을 고려한 반응형 웹/앱 서비스 구현 ",기본,심화,기본,기본,기본,기본,기본,기본,기본,심화," 국민내일배움카드 발급 가능자, 훈련 기간 동안 성실히 참여할 수 있는 구직자 "," 컴퓨터 관련 전공자, 프로그래밍 기초 학습자, 노코드/AI 툴 활용에 관심이 많은 비전공자 ", O , O , X , X , PC , O , 없음 , 3 , 2 , 자율구성 , Git/GitHub , O , O , O , O , O 
삼성국민취업아카데미(주),"[ 로봇 ] AI 영상기법을 활용한 실용적인 산업화 자율주행, 서비스 협동로봇 개발자 과정 (라이다, 뎁스카메라)",20251127,20260605,128,1020,경기 성남시 수정구,오프라인,미상,유, 9732840 , 0 ," 9,732,840 "," 316,000 ", 없음 ," 1.자율주행 로봇 제어: ROS 2(Robot Operating System) 환경에서 LiDAR(라이다) 센서를 활용한 SLAM(지도작성) 및 Navigation(자율주행) 구현
2.서비스 로봇 개발: 자율주행과 로봇팔 제어를 융합하여 서빙, 배송, 방역 등 실제 서비스 로봇 시나리오 구현 ",기본,기본,심화,기본,없음,없음,없음,기본,심화,심화," 국민내일배움카드 발급 가능자, 6개월 이상의 장기 훈련에 성실히 참여할 수 있는 미취업자 ","기계/전자/컴퓨터공학 관련 전공자, C++ 또는 Python 프로그래밍 기초 학습자, 로봇 및 임베디드 분야 취업 희망자", O , O , X , X , PC , O , 없음 , 3 , 2 , 자율구성 , Git/GitHub , O , O , O , O , O 
두드림컴퓨터학원,생성형AI와 챗GPT를 활용한 빅데이터 분석 & 자동화 시스템 구축,20251127,20260528,125,1000,경기 성남시 분당구,오프라인,미상,유, 9493000 , 0 ," 9,493,000 "," 316,000 ", 없음 ," 1.Big Data Analysis: Python(Pandas, Numpy)과 SQL을 활용하여 정형/비정형 데이터를 수집, 전처리하고 시각화하는 능력 함양
2.Generative AI: ChatGPT API 및 프롬프트 엔지니어링 기술을 익혀, 데이터 분석 결과를 해석하거나 보고서를 자동 생성하는 기술 습득 ",기본,심화,심화,심화,기본,기본,기본,기본,기본,심화," 국민내일배움카드 발급 가능자, 데이터 분석 및 AI 분야로 취업을 희망하는 미취업자. "," 통계학/컴퓨터공학 등 관련 전공자, Python 기초 문법 학습자, 엑셀 활용 능력이 우수한 비전공자 ", O , O , X , X , PC , O , 없음 , 3 , 2 , 자율구성 , Git/GitHub , O , O , O , O , O 
