,,,커리큘럼,,,,,,,,,
훈련기관명,훈련과정명,대분류,1,2,3,4,5,6,7,8,9,10
글로벌아이티(IT)인재개발학원,데브옵스/MSA/컨테이너 기반의 클라우드 네이티브 엔지니어 전문가 과정,클라우드,심화,기본,심화,기본,심화,심화,기본,기본,심화,심화
(주)솔데스크,AWS와 Azure 기반 하이브리드 멀티클라우드 DevOps,클라우드,심화,심화,심화,기본,심화,기본,기본,기본,심화,심화
메가존클라우드 아이티평생교육원,메가존클라우드 MSP 솔루션 아키텍트 양성 과정,클라우드,기본,기본,심화,기본,기본,기본,기본,기본,기본,심화
대우능력개발원,클라우드 기반 정보시스템 구축 전문가 양성,클라우드,심화,심화,심화,기본,기본,기본,기본,기본,기본,심화
대한상공회의소,[현대건설] Smart Plant,클라우드,기본,심화,심화,기본,기본,기본,기본,기본,기본,심화
한국표준협회,[가비아] g클라우드 기반의 그룹웨어 개발자 양성과정,클라우드,심화,기본,심화,기본,기본,기본,기본,기본,기본,심화
한국전파진흥협회,LG헬로비전 DX DATA School,클라우드,기본,기본,심화,기본,기본,기본,기본,기본,기본,심화
더조은컴퓨터학원,파이썬&앤서블로 시작하는 클라우드 인프라(데브옵스) 전문가 양성,클라우드,심화,심화,심화,기본,심화,기본,기본,심화,심화,심화
주식회사구름,심화_다양한 AI워크로드 최적화를 위한 클라우드 엔지니어링 전문가 과정,클라우드,심화,기본,심화,심화,심화,심화,기본,심화,심화,심화
부산IT아카데미,AWS 클라우드와 온프레미스를 이용한 인프라 구축,클라우드,심화,심화,심화,기본,기본,기본,기본,기본,기본,심화
경북산업직업전문학교,클라우드 시스템 운영관리자,클라우드,심화,심화,심화,기본,기본,기본,기본,기본,기본,심화
(주)한국능률협회컨설팅,[교보DTS] Cloud architecture DX Academy(CDA),클라우드,기본,기본,심화,심화,심화,심화,기본,심화,심화,심화
(주)케이티클라우드,[kt cloud] 클라우드 인프라 과정,클라우드,심화,심화,심화,기본,심화,기본,기본,기본,기본,심화
한국전파진흥협회,AWS Cloud School,클라우드,심화,심화,심화,기본,심화,심화,기본,기본,심화,심화
대한상공회의소,[우리FIS 아카데미] 클라우드 엔지니어링,클라우드,심화,심화,심화,기본,심화,심화,기본,기본,심화,심화
한국전파진흥협회,현대오토에버 클라우드 스쿨,클라우드,심화,심화,심화,기본,심화,심화,기본,기본,심화,심화
베스핀글로벌주식회사,AI MSP 베스핀글로벌의 멀티클라우드(AWS·Azure·GCP·NCP) 엔지니어 부트캠프,클라우드,기본,기본,심화,기본,심화,심화,기본,기본,심화,심화
그린컴퓨터아트학원,"심화_AWS클라우드네이티브 PWA위치기반 실무프로젝트CICD(Next,React,Typescript)",클라우드,기본,기본,심화,기본,기본,기본,기본,기본,심화,심화
멀티캠퍼스,[에스넷시스템] 클라우드 활용 네트워크 엔지니어 양성,클라우드,심화,심화,심화,기본,기본,기본,기본,기본,기본,심화
